epoch,train_loss,eval_loss,eval_map
0,1.6029056517568951,1.535969608596393,0.007926558102368204
1,0.9626569486950598,0.8100151323846408,0.5189493114942711
2,0.8625795035925202,0.7315552330442837,0.5838508742705337
3,0.831565945478414,0.7113448256360633,0.6020554708620897
4,0.8097984698528978,0.7014919226723058,0.6236855000569521
5,0.7908123918955358,0.6928307110709804,0.6157163536380754
6,0.7768936593892334,0.6891302916088274,0.6226133407937224
7,0.768671593598969,0.6855887334261622,0.6352667911411891
8,0.7600148030796304,0.6835013023976769,0.6299061105219349
9,0.7483618422538811,0.6817843663905349,0.6357209943304234
10,0.7423976161127634,0.6800924454416547,0.6415390892903421
11,0.7360735980209846,0.6787904583449874,0.6450613335504508
12,0.7304007391430047,0.680627881948437,0.6418621789816248
13,0.7270690829983161,0.6802071074822119,0.6375658041807984
14,0.725927378816284,0.6802960660840783,0.6375387773970911
15,0.7247677327507264,0.679796330098595,0.6386723432759055
16,0.7270678833558095,0.6797680256089994,0.6380009951603868
17,0.7256678608453675,0.6798115641410861,0.6391166839939117
18,0.7276138796109162,0.6796286648937634,0.6364435669880626
19,0.726151661564355,0.6796814272446292,0.6370429467774441
20,0.7254014340017436,0.6795324547482389,0.6368656744814682
21,0.7200792710048506,0.6797079776546785,0.6362359674652075
